baseline	height	x	y	sigma_x	sigma_y	fwhm_x	fwhm_y	fwhm	error_baseline	error_height	error_x	error_y	error_sigma_x	error_sigma_y	error_fwhm_x	error_fwhm_y	error_fwhm	slice
323.207	84.737	1481.687	898.916	0.563	0.708	1.326	1.667	1.496	2.208	42.099	0.261	0.265	0.335	0.217	0.788	0.511	0.469	4
322.483	44.692	1165.532	910.697	0.967	1.121	2.277	2.640	2.459	2.426	18.064	0.388	0.451	0.409	0.468	0.962	1.101	0.731	4
329.340	54.304	1501.086	917.265	0.796	1.270	1.873	2.991	2.432	2.498	18.885	0.291	0.454	0.270	0.469	0.637	1.104	0.637	4
318.092	43.860	1135.746	917.767	1.066	1.497	2.511	3.525	3.018	2.400	13.639	0.332	0.466	0.352	0.493	0.828	1.161	0.713	4
312.084	51.350	465.744	936.457	0.593	1.500	1.396	3.532	2.464	2.077	19.725	0.250	0.508	0.259	0.522	0.611	1.229	0.686	4
312.842	38.629	559.034	950.573	1.839	1.891	4.331	4.453	4.392	3.610	9.787	0.465	0.478	0.568	0.581	1.337	1.368	0.957	4
315.707	43.122	1949.034	950.162	2.069	2.957	4.871	6.963	5.917	4.654	8.660	0.401	0.585	0.554	0.780	1.304	1.837	1.126	4
322.243	45.183	1475.520	958.296	0.820	1.149	1.931	2.706	2.318	2.435	20.378	0.351	0.501	0.403	0.516	0.950	1.216	0.772	4
341.864	50.564	903.735	964.903	1.294	0.765	3.047	1.801	2.424	2.314	17.600	0.466	0.285	0.481	0.257	1.132	0.606	0.642	4
347.282	75.665	1532.595	970.901	0.550	0.706	1.295	1.663	1.479	2.341	70.720	0.269	0.326	0.596	0.269	1.403	0.633	0.769	4
324.483	53.895	560.034	1012.687	0.441	1.637	1.039	3.856	2.448	2.243	16.729	0.444	0.564	0.210	0.574	0.496	1.353	0.720	4
322.881	50.623	822.363	1029.929	0.945	1.116	2.224	2.628	2.426	2.175	16.485	0.306	0.362	0.321	0.374	0.756	0.881	0.581	4
306.556	44.910	86.147	1039.477	0.770	1.687	1.812	3.972	2.892	2.289	14.786	0.266	0.569	0.253	0.593	0.595	1.396	0.759	4
311.385	47.231	588.911	1058.502	1.182	0.967	2.783	2.277	2.530	2.202	15.839	0.395	0.322	0.410	0.340	0.965	0.801	0.627	4
325.947	37.447	994.599	1066.201	1.185	1.009	2.790	2.376	2.583	2.392	16.638	0.527	0.449	0.548	0.466	1.291	1.097	0.847	4
311.209	69.456	1831.271	1089.892	1.100	0.779	2.589	1.834	2.212	2.260	18.891	0.308	0.224	0.316	0.206	0.744	0.484	0.444	4
322.106	45.858	211.750	1110.379	0.837	1.261	1.972	2.968	2.470	2.187	16.517	0.302	0.454	0.312	0.469	0.736	1.105	0.664	4
335.106	33.809	1039.291	1111.342	1.358	1.812	3.197	4.267	3.732	2.760	11.359	0.454	0.608	0.502	0.672	1.181	1.581	0.987	4
319.814	68.890	1331.476	1151.957	0.771	0.844	1.815	1.988	1.901	1.881	19.931	0.206	0.236	0.253	0.224	0.596	0.528	0.398	4
306.522	39.491	74.041	1154.131	1.215	1.100	2.862	2.591	2.727	2.527	16.297	0.502	0.454	0.525	0.475	1.236	1.119	0.834	4
315.543	39.355	1240.902	1166.165	2.847	0.996	6.704	2.344	4.524	2.281	9.378	0.771	0.233	0.908	0.255	2.139	0.600	1.111	4
330.753	83.154	551.808	1192.203	2.990	2.487	7.041	5.858	6.449	3.851	8.035	0.759	0.252	0.703	0.325	1.655	0.766	0.912	4
313.903	41.987	1849.180	1204.423	1.284	1.071	3.024	2.522	2.773	2.225	14.084	0.430	0.359	0.451	0.377	1.063	0.889	0.693	4
315.204	79.760	1838.010	1237.633	0.673	0.854	1.585	2.012	1.799	2.079	21.070	0.211	0.238	0.158	0.254	0.372	0.597	0.352	4
317.377	43.113	1526.990	1251.406	1.250	1.111	2.944	2.617	2.780	2.386	14.992	0.435	0.386	0.456	0.406	1.074	0.956	0.719	4
309.619	46.756	1820.485	1262.259	0.960	1.590	2.260	3.745	3.002	2.391	14.115	0.288	0.478	0.309	0.504	0.729	1.187	0.696	4
302.024	47.958	1972.831	1262.187	0.838	1.414	1.973	3.331	2.652	2.405	16.686	0.297	0.497	0.297	0.517	0.699	1.217	0.702	4
313.339	42.785	33.250	1262.678	0.995	1.262	2.342	2.971	2.657	2.280	15.358	0.357	0.453	0.372	0.472	0.877	1.113	0.708	4
311.688	62.774	300.304	1274.437	0.581	0.963	1.369	2.269	1.819	2.191	31.895	0.280	0.372	0.344	0.384	0.810	0.904	0.607	4
316.689	52.917	1500.132	1278.105	0.963	0.861	2.268	2.027	2.147	2.251	19.447	0.360	0.324	0.365	0.317	0.860	0.746	0.569	4
348.359	72.995	972.064	1290.220	0.575	0.596	1.353	1.403	1.378	2.138	28.706	0.319	0.304	0.202	0.275	0.475	0.648	0.402	4
324.822	47.086	703.699	1302.144	0.789	1.009	1.857	2.377	2.117	2.023	18.438	0.304	0.390	0.325	0.397	0.766	0.936	0.605	4
311.525	53.467	1775.831	1306.332	0.630	1.706	1.483	4.016	2.750	2.253	16.230	0.231	0.533	0.194	0.550	0.458	1.296	0.687	4
315.071	57.498	865.477	1307.861	1.025	0.589	2.413	1.387	1.900	1.723	17.068	0.317	0.238	0.325	0.176	0.765	0.414	0.435	4
311.688	34.488	1504.153	1314.962	2.076	1.204	4.889	2.836	3.863	2.974	11.881	0.715	0.414	0.787	0.462	1.854	1.089	1.075	4
339.360	113.937	628.932	1322.653	2.804	2.336	6.602	5.501	6.051	3.869	7.687	0.206	0.176	0.271	0.236	0.637	0.556	0.423	4
316.240	56.507	481.304	1324.382	0.711	0.920	1.675	2.166	1.920	2.104	22.334	0.270	0.344	0.303	0.359	0.713	0.845	0.553	4
358.621	55.713	585.858	1344.298	1.042	0.704	2.453	1.659	2.056	2.624	25.881	0.463	0.318	0.472	0.355	1.111	0.837	0.695	4
314.966	51.486	1343.099	1358.684	0.482	1.192	1.135	2.806	1.971	2.255	22.412	0.460	0.522	0.263	0.530	0.618	1.248	0.696	4
313.648	62.071	1835.935	1364.146	0.766	0.542	1.804	1.277	1.540	2.154	25.945	0.345	0.367	0.303	0.256	0.713	0.603	0.467	4
318.579	46.287	400.971	1366.874	2.409	3.728	5.673	8.779	7.226	5.140	7.145	0.355	0.707	0.551	0.973	1.298	2.290	1.316	4
311.959	55.948	1087.201	1370.128	0.794	1.444	1.870	3.401	2.636	2.027	14.400	0.209	0.375	0.209	0.389	0.491	0.916	0.520	4
307.712	57.543	1330.717	1378.125	1.596	0.692	3.759	1.629	2.694	1.993	13.978	0.406	0.191	0.421	0.162	0.991	0.380	0.531	4
330.090	51.101	692.722	1381.358	0.824	1.535	1.941	3.614	2.778	2.333	15.725	0.252	0.470	0.268	0.490	0.630	1.153	0.657	4
362.036	40.769	1624.122	1397.646	0.896	1.362	2.111	3.206	2.659	2.534	17.285	0.385	0.582	0.389	0.606	0.916	1.426	0.848	4
334.088	88.022	1640.030	1400.636	2.355	2.530	5.546	5.957	5.751	4.037	8.632	0.236	0.295	0.308	0.382	0.724	0.899	0.577	4
325.213	172.724	1697.773	1403.503	3.390	3.684	7.982	8.676	8.329	7.603	8.749	0.257	0.391	0.350	0.449	0.824	1.057	0.670	4
331.197	100.717	744.637	1408.698	2.412	1.901	5.681	4.477	5.079	3.346	9.488	0.264	0.179	0.325	0.216	0.766	0.509	0.460	4
319.968	47.188	139.159	1422.693	0.773	2.295	1.819	5.404	3.612	2.579	13.860	0.235	0.688	0.230	0.739	0.541	1.741	0.912	4
315.000	67.798	462.884	1435.809	1.878	2.071	4.423	4.877	4.650	3.320	10.209	0.280	0.317	0.332	0.383	0.782	0.901	0.596	4
331.289	110.724	335.518	1442.626	0.677	0.901	1.594	2.121	1.858	2.261	29.466	0.133	0.193	0.216	0.202	0.509	0.476	0.348	4
313.671	39.877	1278.291	1473.882	0.923	0.907	2.174	2.136	2.155	2.160	18.751	0.436	0.430	0.450	0.430	1.061	1.013	0.733	4
321.799	48.862	638.893	1517.635	1.971	1.924	4.642	4.530	4.586	3.342	8.980	0.359	0.351	0.434	0.425	1.023	1.001	0.716	4
326.608	79.078	549.980	1521.809	2.753	2.903	6.482	6.835	6.659	4.874	7.461	0.357	0.275	0.485	0.385	1.143	0.906	0.729	4
329.484	48.986	769.294	1526.561	0.981	0.696	2.310	1.639	1.974	2.359	27.013	0.465	0.310	0.476	0.453	1.121	1.068	0.774	4
331.378	38.469	628.391	1533.950	1.576	1.006	3.712	2.370	3.041	2.563	14.632	0.601	0.384	0.636	0.403	1.497	0.950	0.886	4
317.104	49.551	600.030	1557.156	1.921	0.621	4.523	1.463	2.993	2.342	15.743	0.633	0.245	0.660	0.199	1.554	0.470	0.812	4
318.079	47.900	926.987	1568.228	0.863	1.100	2.031	2.590	2.310	2.193	17.450	0.322	0.407	0.313	0.419	0.737	0.987	0.616	4
323.152	43.108	1305.084	1631.755	1.483	1.638	3.493	3.857	3.675	2.762	11.139	0.383	0.423	0.426	0.470	1.002	1.106	0.746	4
315.146	54.358	519.741	1644.979	1.161	0.881	2.734	2.075	2.404	1.950	14.850	0.321	0.246	0.332	0.242	0.781	0.570	0.483	4
307.664	36.095	1648.756	1678.337	1.442	1.225	3.395	2.884	3.140	2.305	12.121	0.484	0.411	0.518	0.440	1.219	1.036	0.800	4
324.621	60.060	417.257	1684.609	0.991	0.753	2.335	1.774	2.054	2.031	20.103	0.312	0.232	0.320	0.280	0.753	0.660	0.501	4
323.585	57.520	957.886	1713.170	0.739	1.248	1.739	2.939	2.339	2.225	17.590	0.246	0.397	0.217	0.408	0.511	0.961	0.544	4
340.604	78.146	1046.289	1715.645	2.947	2.364	6.939	5.567	6.253	4.439	7.829	0.315	0.249	0.427	0.349	1.005	0.821	0.649	4
315.552	50.882	878.952	1726.762	1.846	0.519	4.346	1.221	2.784	2.319	26.054	0.669	0.339	0.691	0.315	1.627	0.741	0.894	4
305.316	46.669	1813.823	1750.388	0.803	1.023	1.890	2.409	2.149	2.292	19.986	0.353	0.443	0.343	0.457	0.808	1.075	0.673	4
339.704	42.100	917.691	1769.179	1.197	1.181	2.818	2.781	2.800	2.442	15.151	0.431	0.425	0.453	0.446	1.066	1.051	0.749	4
324.967	63.016	371.970	1792.147	1.021	0.529	2.404	1.246	1.825	2.311	25.360	0.405	0.348	0.408	0.240	0.961	0.565	0.557	4
308.890	55.800	1294.568	1796.253	0.909	0.820	2.140	1.932	2.036	1.949	18.401	0.295	0.268	0.312	0.275	0.734	0.647	0.489	4
312.353	80.494	554.571	1802.683	0.683	0.959	1.609	2.257	1.933	2.065	24.756	0.166	0.248	0.250	0.255	0.588	0.600	0.420	4
382.569	90.305	997.907	1879.775	0.570	0.965	1.343	2.272	1.808	2.472	24.525	0.233	0.285	0.153	0.288	0.360	0.678	0.384	4
321.469	39.217	919.632	1903.881	2.128	1.244	5.012	2.929	3.970	2.434	9.316	0.505	0.294	0.562	0.331	1.324	0.780	0.768	4
302.715	45.529	1707.874	1919.216	0.806	1.107	1.899	2.608	2.253	2.143	17.612	0.324	0.437	0.308	0.449	0.725	1.058	0.642	4
288.683	38.359	10.756	1938.520	1.766	2.314	4.158	5.449	4.804	3.662	8.566	0.390	0.514	0.501	0.639	1.179	1.505	0.956	4
305.977	67.920	1639.294	1942.913	0.606	0.912	1.427	2.148	1.788	1.991	26.181	0.230	0.299	0.269	0.296	0.634	0.697	0.471	4
303.563	42.178	1541.065	1964.910	1.065	1.166	2.507	2.745	2.626	2.354	15.968	0.404	0.442	0.419	0.460	0.988	1.084	0.733	4
325.296	56.396	1061.405	1989.607	0.742	1.518	1.748	3.576	2.662	2.436	18.996	0.225	0.475	0.286	0.492	0.674	1.159	0.671	4
311.736	53.084	491.272	1993.166	1.154	1.104	2.717	2.600	2.658	2.412	16.083	0.350	0.335	0.365	0.349	0.860	0.822	0.595	4
301.283	70.140	357.430	1999.205	0.968	0.576	2.279	1.356	1.817	2.286	26.530	0.344	0.276	0.354	0.238	0.834	0.560	0.502	4
304.922	58.338	1447.995	2004.625	0.665	1.223	1.567	2.881	2.224	2.045	16.615	0.231	0.377	0.172	0.386	0.405	0.909	0.498	4
303.415	56.330	692.508	2009.642	1.138	0.764	2.680	1.800	2.240	2.103	18.655	0.361	0.239	0.372	0.277	0.875	0.652	0.546	4
315.420	49.520	878.169	2023.417	0.623	1.925	1.467	4.533	3.000	2.297	15.511	0.239	0.619	0.200	0.643	0.471	1.514	0.793	4
315.566	69.342	724.335	2039.648	0.560	0.704	1.319	1.659	1.489	2.050	46.306	0.294	0.281	0.421	0.345	0.991	0.812	0.641	4
372.061	232.996	1644.622	132.784	3.951	4.663	9.304	10.981	10.142	38.519	34.632	0.112	0.152	0.589	0.690	1.386	1.624	1.068	2
282.659	319.465	1644.859	132.874	4.949	5.761	11.653	13.566	12.610	41.228	37.707	0.156	0.229	0.588	0.695	1.385	1.636	1.072	2
312.096	158.126	390.945	1307.200	2.815	2.504	6.629	5.897	6.263	7.699	8.692	0.141	0.121	0.244	0.216	0.575	0.509	0.384	2
302.798	133.053	1919.210	14.074	3.214	3.341	7.568	7.867	7.718	15.480	13.119	0.154	0.162	0.452	0.463	1.064	1.090	0.762	2
348.917	125.775	918.496	1799.032	2.882	2.051	6.787	4.830	5.808	6.115	9.663	0.215	0.149	0.303	0.224	0.713	0.527	0.443	2
343.096	127.224	900.570	1812.991	2.435	2.398	5.735	5.647	5.691	7.392	9.997	0.182	0.178	0.288	0.283	0.678	0.666	0.475	2
322.149	121.363	279.467	438.963	2.453	2.479	5.776	5.838	5.807	6.060	8.344	0.159	0.163	0.247	0.254	0.582	0.598	0.417	2
337.749	115.806	383.150	807.946	2.261	2.199	5.324	5.179	5.251	5.091	8.844	0.170	0.164	0.239	0.232	0.562	0.546	0.392	2
310.595	150.330	1640.954	111.221	4.550	3.911	10.714	9.210	9.962	20.319	17.827	0.260	0.262	0.657	0.672	1.548	1.582	1.106	2
365.996	238.915	1644.626	132.945	4.060	4.490	9.561	10.572	10.067	16.769	14.538	0.181	0.201	0.386	0.402	0.909	0.948	0.656	2
376.361	93.947	1956.269	1057.555	2.370	2.945	5.581	6.935	6.258	8.706	9.749	0.214	0.275	0.398	0.468	0.937	1.101	0.723	2
352.247	111.016	628.976	1322.656	2.148	2.030	5.058	4.781	4.919	4.165	8.338	0.160	0.151	0.213	0.204	0.502	0.480	0.347	2
344.423	110.220	1162.564	1753.404	3.873	3.003	9.119	7.071	8.095	18.339	15.748	0.281	0.198	0.742	0.610	1.747	1.437	1.131	2
310.293	106.308	1116.114	85.058	3.101	2.755	7.302	6.487	6.894	9.525	8.612	0.180	0.156	0.391	0.362	0.921	0.852	0.627	2
337.580	105.027	884.604	476.598	2.335	2.440	5.499	5.746	5.623	6.194	8.985	0.191	0.201	0.293	0.303	0.690	0.714	0.497	2
349.372	97.857	1270.999	345.760	2.920	2.088	6.876	4.917	5.897	6.230	8.580	0.245	0.170	0.365	0.281	0.859	0.662	0.542	2
326.266	121.869	1248.339	886.437	3.394	2.946	7.993	6.938	7.465	8.307	8.245	0.199	0.163	0.361	0.318	0.851	0.748	0.567	2
326.625	92.801	1652.026	1039.896	3.242	3.303	7.635	7.779	7.707	11.352	10.077	0.228	0.231	0.531	0.532	1.251	1.253	0.885	2
330.956	93.231	1272.697	317.780	1.760	1.857	4.145	4.372	4.259	3.427	9.960	0.188	0.198	0.225	0.237	0.531	0.557	0.385	2
335.495	87.842	1547.006	452.198	2.536	2.255	5.971	5.311	5.641	6.319	9.840	0.272	0.244	0.390	0.363	0.919	0.855	0.628	2
332.293	84.497	796.260	599.213	2.480	2.509	5.839	5.908	5.874	6.158	8.563	0.242	0.238	0.378	0.365	0.889	0.859	0.618	2
331.587	89.996	775.321	610.387	2.994	2.447	7.050	5.762	6.406	8.711	10.309	0.332	0.248	0.544	0.430	1.281	1.011	0.816	2
324.664	89.327	658.331	137.971	2.639	2.802	6.214	6.599	6.407	8.312	9.074	0.231	0.254	0.417	0.454	0.981	1.069	0.725	2
322.694	92.580	1522.936	32.000	2.390	2.473	5.628	5.823	5.725	5.985	8.426	0.206	0.217	0.318	0.335	0.748	0.788	0.543	2
322.313	105.558	718.902	1378.604	2.674	3.049	6.296	7.179	6.738	6.490	8.013	0.195	0.209	0.327	0.328	0.771	0.773	0.546	2
336.300	96.600	744.778	1408.742	2.388	1.756	5.623	4.135	4.879	4.007	9.294	0.229	0.166	0.286	0.214	0.674	0.505	0.421	2
345.732	89.331	542.476	1377.265	1.898	2.087	4.470	4.915	4.692	4.114	9.487	0.201	0.221	0.258	0.280	0.607	0.658	0.448	2
330.005	81.531	168.955	808.905	1.990	2.542	4.686	5.987	5.336	4.484	8.102	0.192	0.247	0.271	0.332	0.638	0.782	0.505	2
326.282	106.430	545.393	1327.306	3.117	2.898	7.340	6.823	7.082	8.477	8.326	0.189	0.182	0.363	0.367	0.854	0.865	0.608	2
355.365	89.482	611.855	439.309	3.044	2.541	7.167	5.983	6.575	9.594	10.175	0.314	0.242	0.557	0.457	1.312	1.076	0.848	2
326.000	87.456	733.799	1389.742	2.732	2.816	6.434	6.632	6.533	7.789	8.479	0.234	0.233	0.426	0.412	1.003	0.970	0.697	2
341.286	74.738	895.700	184.452	2.049	2.094	4.824	4.932	4.878	4.938	10.427	0.283	0.290	0.372	0.379	0.876	0.892	0.625	2
341.750	88.663	658.039	703.802	2.832	2.008	6.669	4.728	5.699	5.218	8.709	0.279	0.188	0.388	0.275	0.914	0.647	0.560	2
342.001	82.268	776.638	1381.553	3.011	2.325	7.091	5.475	6.283	6.490	7.658	0.258	0.191	0.422	0.341	0.994	0.804	0.639	2
322.995	80.480	1098.143	69.227	2.806	3.662	6.608	8.622	7.615	12.856	11.119	0.213	0.300	0.595	0.722	1.400	1.700	1.101	2
332.469	81.619	1974.583	926.531	3.066	2.594	7.220	6.108	6.664	7.508	8.958	0.300	0.258	0.485	0.446	1.143	1.050	0.776	2
338.591	81.324	1111.776	1771.258	2.384	2.299	5.615	5.414	5.515	5.407	9.049	0.261	0.247	0.371	0.351	0.874	0.827	0.602	2
334.135	83.374	945.586	1943.636	2.990	2.751	7.041	6.478	6.759	10.188	9.823	0.276	0.252	0.549	0.522	1.292	1.230	0.892	2
329.757	80.419	282.606	419.480	1.968	2.618	4.634	6.164	5.399	5.028	8.782	0.208	0.282	0.300	0.383	0.707	0.902	0.573	2
320.277	87.351	391.034	438.972	2.836	3.088	6.678	7.271	6.974	8.292	8.280	0.216	0.243	0.423	0.459	0.996	1.080	0.735	2
310.383	75.053	299.990	1040.167	3.346	3.589	7.878	8.451	8.165	14.627	12.478	0.240	0.278	0.741	0.812	1.745	1.912	1.294	2
324.694	67.774	7.287	1700.148	3.415	2.109	8.042	4.966	6.504	6.985	8.583	0.406	0.232	0.643	0.420	1.513	0.990	0.904	2
339.177	124.583	1162.263	1752.804	3.620	2.611	8.524	6.147	7.336	6.912	8.575	0.327	0.173	0.453	0.280	1.067	0.659	0.627	2
351.077	70.781	963.376	130.156	3.780	2.677	8.902	6.303	7.602	11.222	10.547	0.408	0.265	0.819	0.617	1.929	1.454	1.208	2
327.582	78.831	464.604	631.090	2.212	2.988	5.209	7.035	6.122	6.395	7.917	0.200	0.279	0.351	0.440	0.826	1.036	0.663	2
337.912	80.696	1046.081	1715.652	3.257	2.291	7.669	5.395	6.532	6.503	7.479	0.270	0.181	0.445	0.336	1.048	0.790	0.656	2
312.579	79.694	315.393	91.124	2.449	1.794	5.766	4.225	4.996	4.266	9.077	0.278	0.201	0.355	0.270	0.835	0.635	0.524	2
332.942	83.409	1964.085	933.739	2.663	2.861	6.270	6.737	6.503	5.902	6.837	0.194	0.217	0.333	0.368	0.785	0.866	0.584	2
316.809	155.327	390.816	1307.183	2.816	2.372	6.631	5.586	6.109	4.637	8.131	0.168	0.124	0.229	0.172	0.539	0.405	0.337	2
328.549	78.229	1545.963	1380.645	2.457	2.644	5.785	6.226	6.006	7.174	8.543	0.243	0.266	0.420	0.448	0.988	1.054	0.722	2
356.957	92.477	1258.690	1591.824	1.451	1.413	3.416	3.326	3.371	2.970	13.824	0.217	0.211	0.236	0.230	0.555	0.541	0.388	2
333.449	73.716	354.865	296.689	2.149	2.439	5.061	5.744	5.403	5.906	9.469	0.267	0.307	0.397	0.441	0.934	1.038	0.698	2
345.122	81.190	866.288	814.387	2.797	2.217	6.588	5.220	5.904	6.623	8.845	0.292	0.224	0.449	0.369	1.056	0.869	0.684	2
334.767	79.729	1685.016	1080.557	2.098	2.857	4.940	6.728	5.834	5.853	8.979	0.222	0.311	0.339	0.442	0.798	1.042	0.656	2
310.862	71.653	22.479	1248.905	1.747	2.228	4.113	5.246	4.680	3.397	8.198	0.199	0.254	0.253	0.313	0.596	0.738	0.474	2
366.945	113.806	1698.290	1403.594	3.100	5.114	7.300	12.043	9.671	11.895	11.557	0.260	0.557	0.518	0.928	1.220	2.186	1.252	2
318.546	75.738	334.109	177.014	2.456	3.101	5.783	7.301	6.542	6.960	8.074	0.227	0.291	0.408	0.479	0.961	1.129	0.741	2
331.477	68.404	923.152	721.933	1.799	1.253	4.235	2.950	3.593	3.129	13.492	0.355	0.247	0.388	0.272	0.915	0.641	0.558	2
345.885	83.158	911.747	1004.784	2.796	2.205	6.585	5.193	5.889	5.539	7.397	0.239	0.182	0.368	0.301	0.865	0.708	0.559	2
369.232	74.262	1948.582	1040.052	1.528	2.589	3.599	6.097	4.848	4.175	11.108	0.224	0.393	0.277	0.478	0.652	1.125	0.650	2
342.880	72.659	249.391	1182.307	3.173	2.331	7.472	5.489	6.480	7.269	7.937	0.308	0.215	0.526	0.414	1.238	0.976	0.788	2
343.756	68.934	591.254	1348.739	2.720	2.646	6.404	6.231	6.318	6.922	8.158	0.286	0.288	0.478	0.495	1.126	1.166	0.810	2
352.327	67.612	920.293	592.961	1.732	2.018	4.078	4.752	4.415	3.954	10.665	0.273	0.318	0.335	0.384	0.789	0.905	0.600	2
325.257	88.443	1664.014	1050.350	3.098	3.068	7.295	7.225	7.260	8.194	8.310	0.276	0.231	0.511	0.421	1.204	0.992	0.780	2
346.113	75.596	551.895	1191.812	2.044	2.002	4.812	4.714	4.763	4.824	10.480	0.282	0.276	0.367	0.361	0.864	0.850	0.606	2
325.991	80.480	677.826	1336.884	2.149	3.119	5.062	7.345	6.204	5.684	8.000	0.200	0.354	0.314	0.515	0.739	1.214	0.711	2
349.589	81.880	718.922	1378.706	2.594	1.912	6.109	4.502	5.305	4.720	9.716	0.308	0.220	0.401	0.292	0.944	0.687	0.584	2
330.489	73.378	432.011	1399.757	1.867	1.597	4.396	3.760	4.078	3.379	10.946	0.278	0.238	0.323	0.279	0.760	0.656	0.502	2
332.504	82.095	757.968	1414.274	2.276	1.955	5.359	4.604	4.981	3.711	7.736	0.214	0.181	0.279	0.242	0.656	0.569	0.434	2
319.960	69.060	1125.376	1477.999	3.016	3.341	7.102	7.867	7.484	11.399	10.166	0.286	0.338	0.672	0.753	1.583	1.774	1.189	2
346.650	61.836	1456.671	1159.359	1.594	2.834	3.754	6.673	5.214	4.462	10.219	0.256	0.468	0.335	0.585	0.789	1.379	0.794	2
331.807	80.992	1749.175	1432.424	2.247	2.668	5.291	6.283	5.787	5.540	7.922	0.208	0.250	0.325	0.373	0.765	0.877	0.582	2
326.141	82.998	1108.957	1736.038	2.101	1.758	4.948	4.140	4.544	3.730	9.739	0.246	0.205	0.300	0.254	0.705	0.599	0.463	2
341.037	75.933	626.040	1791.472	1.908	2.113	4.492	4.976	4.734	4.617	10.390	0.259	0.288	0.337	0.367	0.794	0.865	0.587	2
332.966	70.694	863.715	149.392	2.450	2.331	5.769	5.489	5.629	6.005	9.352	0.319	0.295	0.469	0.432	1.104	1.018	0.751	2
319.170	75.631	117.754	441.592	1.959	1.226	4.613	2.887	3.750	2.674	11.078	0.287	0.179	0.315	0.199	0.742	0.468	0.439	2
322.710	73.880	803.397	588.176	3.143	3.160	7.401	7.440	7.421	12.232	10.591	0.270	0.267	0.681	0.671	1.604	1.580	1.126	2
326.587	112.313	1106.357	610.466	4.178	3.706	9.839	8.728	9.283	19.642	17.029	0.292	0.202	0.831	0.667	1.956	1.570	1.254	2
329.334	65.202	1870.573	777.586	2.390	1.873	5.628	4.411	5.019	4.346	8.970	0.326	0.254	0.422	0.341	0.994	0.803	0.639	2
368.924	70.267	892.280	805.589	2.299	1.928	5.415	4.539	4.977	5.041	10.236	0.332	0.277	0.433	0.374	1.020	0.881	0.674	2
377.481	81.392	1248.310	886.690	1.580	2.179	3.720	5.130	4.425	4.020	12.001	0.230	0.323	0.274	0.382	0.646	0.899	0.554	2
332.001	85.083	531.866	1324.217	3.648	2.589	8.591	6.096	7.343	8.845	8.211	0.290	0.174	0.562	0.399	1.322	0.940	0.811	2
324.298	68.684	1269.391	535.806	2.381	2.369	5.606	5.578	5.592	5.582	8.399	0.280	0.279	0.417	0.418	0.983	0.984	0.696	2
300.563	97.188	674.054	713.687	3.508	3.890	8.260	9.159	8.710	17.407	15.049	0.223	0.253	0.706	0.751	1.664	1.768	1.214	2
348.211	78.558	981.652	758.004	1.369	1.310	3.225	3.086	3.155	2.910	15.113	0.263	0.252	0.282	0.270	0.664	0.636	0.460	2
352.108	71.436	1252.306	893.466	2.899	3.790	6.826	8.924	7.875	9.981	9.403	0.289	0.611	0.580	0.987	1.367	2.323	1.348	2
347.753	74.980	1639.845	1400.439	2.242	1.941	5.280	4.572	4.926	5.499	11.308	0.335	0.290	0.438	0.389	1.030	0.915	0.689	2
329.066	79.864	1158.099	163.578	1.665	1.881	3.920	4.430	4.175	3.585	11.008	0.229	0.259	0.272	0.304	0.640	0.716	0.480	2
337.792	83.128	1013.797	174.888	4.386	3.251	10.329	7.655	8.992	17.520	15.343	0.338	0.230	0.969	0.775	2.282	1.825	1.461	2
320.078	73.965	157.586	573.822	2.460	1.789	5.793	4.213	5.003	4.247	8.968	0.296	0.213	0.378	0.287	0.891	0.677	0.559	2
320.647	70.657	169.234	584.868	2.718	2.186	6.399	5.147	5.773	4.881	7.953	0.305	0.235	0.432	0.341	1.017	0.803	0.648	2
345.387	73.461	1555.943	639.878	2.300	1.946	5.415	4.582	4.999	4.189	8.685	0.271	0.226	0.354	0.303	0.834	0.712	0.549	2
345.967	57.368	898.694	1489.814	3.344	3.708	7.875	8.733	8.304	12.257	10.945	0.432	0.448	1.000	0.986	2.355	2.322	1.653	2
313.365	73.537	219.141	1696.480	3.903	3.210	9.192	7.559	8.376	14.132	12.149	0.344	0.242	0.892	0.721	2.100	1.698	1.350	2
327.206	116.379	279.160	439.051	2.684	2.293	6.321	5.400	5.861	4.057	7.615	0.234	0.147	0.306	0.194	0.719	0.456	0.426	2
322.049	64.960	140.089	768.282	2.217	1.840	5.221	4.333	4.777	4.423	10.047	0.341	0.282	0.429	0.365	1.011	0.861	0.664	2
353.403	58.011	527.429	1390.499	2.942	1.352	6.928	3.184	5.056	3.740	10.618	0.545	0.240	0.663	0.291	1.562	0.685	0.853	2
302.346	71.193	327.331	1922.756	2.509	3.594	5.908	8.464	7.186	7.005	7.891	0.230	0.357	0.424	0.594	0.999	1.398	0.859	2
336.750	110.137	1662.631	130.935	4.358	4.404	10.263	10.370	10.317	16.076	14.146	0.307	0.516	0.722	0.959	1.701	2.257	1.413	2
360.133	66.923	1115.630	187.401	1.978	1.505	4.658	3.543	4.101	3.410	11.232	0.332	0.252	0.381	0.294	0.897	0.692	0.566	2
324.236	82.443	396.132	423.025	3.184	3.495	7.498	8.230	7.864	9.419	8.931	0.286	0.291	0.578	0.560	1.360	1.320	0.947	2
316.601	78.337	143.991	562.109	1.406	1.507	3.310	3.548	3.429	2.568	11.613	0.208	0.223	0.228	0.244	0.536	0.575	0.393	2
