baseline	height	x	y	sigma_x	sigma_y	fwhm_x	fwhm_y	fwhm	error_baseline	error_height	error_x	error_y	error_sigma_x	error_sigma_y	error_fwhm_x	error_fwhm_y	error_fwhm	slice
324.694	67.774	7.287	1700.148	3.415	2.109	8.042	4.966	6.504	6.985	8.583	0.406	0.232	0.643	0.420	1.513	0.990	0.904	4
339.177	124.583	1162.263	1752.804	3.620	2.611	8.524	6.147	7.336	6.912	8.575	0.327	0.173	0.453	0.280	1.067	0.659	0.627	4
351.077	70.781	963.376	130.156	3.780	2.677	8.902	6.303	7.602	11.222	10.547	0.408	0.265	0.819	0.617	1.929	1.454	1.208	4
327.582	78.831	464.604	631.090	2.212	2.988	5.209	7.035	6.122	6.395	7.917	0.200	0.279	0.351	0.440	0.826	1.036	0.663	4
337.912	80.696	1046.081	1715.652	3.257	2.291	7.669	5.395	6.532	6.503	7.479	0.270	0.181	0.445	0.336	1.048	0.790	0.656	4
312.579	79.694	315.393	91.124	2.449	1.794	5.766	4.225	4.996	4.266	9.077	0.278	0.201	0.355	0.270	0.835	0.635	0.524	4
332.942	83.409	1964.085	933.739	2.663	2.861	6.270	6.737	6.503	5.902	6.837	0.194	0.217	0.333	0.368	0.785	0.866	0.584	4
316.809	155.327	390.816	1307.183	2.816	2.372	6.631	5.586	6.109	4.637	8.131	0.168	0.124	0.229	0.172	0.539	0.405	0.337	4
328.549	78.229	1545.963	1380.645	2.457	2.644	5.785	6.226	6.006	7.174	8.543	0.243	0.266	0.420	0.448	0.988	1.054	0.722	4
356.957	92.477	1258.690	1591.824	1.451	1.413	3.416	3.326	3.371	2.970	13.824	0.217	0.211	0.236	0.230	0.555	0.541	0.388	4
333.449	73.716	354.865	296.689	2.149	2.439	5.061	5.744	5.403	5.906	9.469	0.267	0.307	0.397	0.441	0.934	1.038	0.698	4
345.122	81.190	866.288	814.387	2.797	2.217	6.588	5.220	5.904	6.623	8.845	0.292	0.224	0.449	0.369	1.056	0.869	0.684	4
334.767	79.729	1685.016	1080.557	2.098	2.857	4.940	6.728	5.834	5.853	8.979	0.222	0.311	0.339	0.442	0.798	1.042	0.656	4
310.862	71.653	22.479	1248.905	1.747	2.228	4.113	5.246	4.680	3.397	8.198	0.199	0.254	0.253	0.313	0.596	0.738	0.474	4
366.945	113.806	1698.290	1403.594	3.100	5.114	7.300	12.043	9.671	11.895	11.557	0.260	0.557	0.518	0.928	1.220	2.186	1.252	4
318.546	75.738	334.109	177.014	2.456	3.101	5.783	7.301	6.542	6.960	8.074	0.227	0.291	0.408	0.479	0.961	1.129	0.741	4
331.477	68.404	923.152	721.933	1.799	1.253	4.235	2.950	3.593	3.129	13.492	0.355	0.247	0.388	0.272	0.915	0.641	0.558	4
345.885	83.158	911.747	1004.784	2.796	2.205	6.585	5.193	5.889	5.539	7.397	0.239	0.182	0.368	0.301	0.865	0.708	0.559	4
369.232	74.262	1948.582	1040.052	1.528	2.589	3.599	6.097	4.848	4.175	11.108	0.224	0.393	0.277	0.478	0.652	1.125	0.650	4
342.880	72.659	249.391	1182.307	3.173	2.331	7.472	5.489	6.480	7.269	7.937	0.308	0.215	0.526	0.414	1.238	0.976	0.788	4
343.756	68.934	591.254	1348.739	2.720	2.646	6.404	6.231	6.318	6.922	8.158	0.286	0.288	0.478	0.495	1.126	1.166	0.810	4
352.327	67.612	920.293	592.961	1.732	2.018	4.078	4.752	4.415	3.954	10.665	0.273	0.318	0.335	0.384	0.789	0.905	0.600	4
325.257	88.443	1664.014	1050.350	3.098	3.068	7.295	7.225	7.260	8.194	8.310	0.276	0.231	0.511	0.421	1.204	0.992	0.780	4
346.113	75.596	551.895	1191.812	2.044	2.002	4.812	4.714	4.763	4.824	10.480	0.282	0.276	0.367	0.361	0.864	0.850	0.606	4
325.991	80.480	677.826	1336.884	2.149	3.119	5.062	7.345	6.204	5.684	8.000	0.200	0.354	0.314	0.515	0.739	1.214	0.711	4
349.589	81.880	718.922	1378.706	2.594	1.912	6.109	4.502	5.305	4.720	9.716	0.308	0.220	0.401	0.292	0.944	0.687	0.584	4
330.489	73.378	432.011	1399.757	1.867	1.597	4.396	3.760	4.078	3.379	10.946	0.278	0.238	0.323	0.279	0.760	0.656	0.502	4
332.504	82.095	757.968	1414.274	2.276	1.955	5.359	4.604	4.981	3.711	7.736	0.214	0.181	0.279	0.242	0.656	0.569	0.434	4
319.960	69.060	1125.376	1477.999	3.016	3.341	7.102	7.867	7.484	11.399	10.166	0.286	0.338	0.672	0.753	1.583	1.774	1.189	4
346.650	61.836	1456.671	1159.359	1.594	2.834	3.754	6.673	5.214	4.462	10.219	0.256	0.468	0.335	0.585	0.789	1.379	0.794	4
331.807	80.992	1749.175	1432.424	2.247	2.668	5.291	6.283	5.787	5.540	7.922	0.208	0.250	0.325	0.373	0.765	0.877	0.582	4
326.141	82.998	1108.957	1736.038	2.101	1.758	4.948	4.140	4.544	3.730	9.739	0.246	0.205	0.300	0.254	0.705	0.599	0.463	4
