n	ChainAxis	ChainDia	CellAxis	DiaP	CellDiaM	GFPfluor	GFPMean	GFPMax	GFPMid	allSepta	manSepta	manTrace	Thr	startX	startY	barX	barY	barW	barH	SeptaPos	ParentID	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10	Y11	Frame
317			1.3937	0.692500	0.2747											317	200	28	33		28	94.4757	94.3652	94.2557	94.1477	94.0415	94.7003	94.8065	94.9140	95.0227	95.1328	94.4757	12.0386	11.7061	11.3727	11.0393	10.7114	10.4980	10.8259	11.1579	11.4889	11.8201	12.0386	9
318			1.2487	0.692500	0.3497											345	200	25	33		28	94.9316	94.8181	94.7015	94.5816	94.4778	95.1308	95.2297	95.3442	95.4620	95.5769	94.9316	13.2196	12.9280	12.6376	12.3387	12.0446	11.8141	12.0944	12.3797	12.6735	12.9684	13.2196	9
319			2.0781	0.692500	0.7826											370	200	42	33		28	95.6467	95.4705	95.2945	95.1159	94.9313	95.5772	95.7637	95.9449	96.1222	96.2988	95.6467	15.1602	14.6669	14.1801	13.6963	13.2189	12.9691	13.4515	13.9425	14.4327	14.9273	15.1602	9
320			3.5914	0.853500	0.4496											442	200	72	33		29	8.7988	8.6549	8.4727	8.2694	8.0426	8.8678	9.0976	9.3059	9.4941	9.6411	8.7988	36.1174	35.2397	34.3741	33.5094	32.6506	32.4326	33.3027	34.1885	35.0826	35.9793	36.1174	9
321			1.9482	0.853500												514	200	39	33		29	8.9557	8.9114	8.8771	8.8380	8.7949	9.6450	9.6884	9.7282	9.7622	9.8057	8.9557	38.0280	37.5362	37.0460	36.5624	36.0868	36.0099	36.4895	36.9818	37.4682	37.9515	38.0280	9
322			1.6684	0.853500	0.2498											553	200	34	33		29	9.0416	9.0299	9.0120	8.9884	8.9554	9.8060	9.8399	9.8645	9.8830	9.8948	9.0416	39.6675	39.2513	38.8384	38.4277	38.0247	37.9549	38.3683	38.7954	39.2209	39.6436	39.6675	9
323			2.2428	0.874300	0.5162											617	200	45	33		30	4.3834	4.3832	4.3819	4.3536	4.3207	5.1934	5.2265	5.2561	5.2574	5.2577	4.3834	38.1948	37.6307	37.0823	36.5312	35.9795	35.9274	36.4827	37.0589	37.6295	38.1944	38.1948	9
324			2.6775	0.874300	0.4995											662	200	54	33		30	4.3553	4.3577	4.3707	4.3809	4.3834	5.2577	5.2551	5.2448	5.2320	5.2295	4.3553	40.8702	40.1924	39.5206	38.8547	38.1929	38.1962	38.8631	39.5358	40.2024	40.8734	40.8702	9
325			2.0930	0.865800	0.5495											746	200	42	33		31	14.4420	14.4435	14.4249	14.3967	14.3605	15.2242	15.2609	15.2899	15.3094	15.3078	14.4420	38.3114	37.7953	37.2836	36.7673	36.2524	36.1917	36.7133	37.2443	37.7809	38.3138	38.3114	9
326			2.4976	0.865800	0.2997											788	200	50	33		31	14.4241	14.4275	14.4378	14.4427	14.4420	15.3078	15.3085	15.3036	15.2933	15.2899	14.4241	40.8078	40.1760	39.5511	38.9306	38.3131	38.3121	38.9335	39.5617	40.1855	40.8125	40.8078	9
327			3.0920	0.809900	0.5245											868	200	62	33		32	79.0090	78.8054	78.5650	78.3178	78.0666	78.8319	79.0841	79.3330	79.5805	79.7896	79.0090	50.4487	49.7125	48.9885	48.2575	47.5319	47.2669	47.9952	48.7312	49.4768	50.2328	50.4487	9
328			1.8460	0.809900	0.5328											930	200	37	33		32	79.7555	79.5112	79.2838	79.1348	79.0096	79.7890	79.9113	80.0380	80.2232	80.4518	79.7555	52.2421	51.8308	51.3721	50.8935	50.4510	50.2305	50.6628	51.0700	51.4436	51.8286	52.2421	9
329			2.5965	0.809900	0.5495											967	200	52	33		32	81.5746	81.0930	80.6453	80.1830	79.7807	80.4266	80.8009	81.2353	81.6705	82.1344	81.5746	54.2394	53.7789	53.2957	52.8114	52.2797	51.7910	52.2857	52.7409	53.2104	53.6541	54.2394	9
330			1.7783	0.809900	0.4163											1019	200	36	33		32	82.8463	82.5278	82.2138	81.8953	81.5765	82.1326	82.4529	82.7776	83.0972	83.4168	82.8463	55.4716	55.1555	54.8463	54.5423	54.2412	53.6523	53.9549	54.2648	54.5795	54.8968	55.4716	9
331			1.4437	1.504800	0.4995											30	250	29	33		33	41.1078	41.1731	41.2370	41.3019	41.3650	42.8458	42.7827	42.7178	42.6537	42.5882	41.1078	65.6263	65.2681	64.9147	64.5559	64.2069	64.4746	64.8236	65.1824	65.5369	65.8962	65.6263	9
332			2.6476	1.504800	0.3247											59	250	53	33		33	40.6486	40.7537	40.8733	40.9904	41.1078	42.5882	42.4712	42.3544	42.2374	42.1349	40.6486	68.2515	67.5871	66.9259	66.2715	65.6265	65.8960	66.5387	67.1923	67.8386	68.4866	68.2515	9
333			2.4476	1.504800	0.4995											112	250	49	33		33	40.2603	40.3696	40.4752	40.5675	40.6459	42.1376	42.0570	41.9595	41.8508	41.7410	40.2603	70.6507	70.0475	69.4514	68.8606	68.2701	68.4681	69.0759	69.6989	70.3128	70.9189	70.6507	9
334			2.3728	1.504800												161	250	48	33		33	39.8336	39.9479	40.0570	40.1576	40.2596	41.7418	41.6400	41.5377	41.4254	41.3100	39.8336	72.9730	72.3924	71.8168	71.2361	70.6547	70.9149	71.4946	72.0854	72.6779	73.2638	72.9730	9
335			0.7943	0.825300												239	250	16	33		34	19.4998	19.5298	19.5597	19.5896	19.6188	20.4348	20.4056	20.3757	20.3458	20.3158	19.4998	76.8108	76.6132	76.4157	76.2181	76.0255	76.1491	76.3417	76.5393	76.7369	76.9344	76.8108	9
336			2.5452	0.825300	0.1499											255	250	51	33		34	19.5425	19.4520	19.4099	19.4276	19.4976	20.3181	20.2518	20.2359	20.2737	20.3599	19.5425	79.4635	78.8152	78.1437	77.4703	76.8279	76.9173	77.5260	78.1287	78.7322	79.3494	79.4635	9
337			2.1369	0.825300	0.2997											306	250	43	33		34	20.3930	20.0136	19.7924	19.6632	19.5483	20.3541	20.4680	20.5835	20.7383	21.0357	20.3930	81.6217	81.1506	80.5697	80.0148	79.4956	79.3173	79.8321	80.3281	80.7348	81.1040	81.6217	9
338			3.1361	0.825300	0.3996											349	250	63	33		34	20.2216	20.4241	20.5893	20.6366	20.3438	21.0849	21.4763	21.4077	21.2255	21.0186	20.2216	84.2641	83.5099	82.7781	82.1420	81.5444	81.1813	81.9800	82.9003	83.7078	84.4781	84.2641	9
339			2.7973	0.825300	0.2747											412	250	56	33		34	19.4876	19.6856	19.8738	20.0393	20.2218	21.0185	20.8386	20.6719	20.4785	20.2795	19.4876	86.9530	86.2791	85.6154	84.9386	84.2635	84.4788	85.1443	85.8261	86.5080	87.1856	86.9530	9
340			1.2688	0.825300	0.4329											468	250	26	33		34	19.1588	19.2394	19.3199	19.4014	19.4863	20.2808	20.1981	20.1186	20.0380	19.9575	19.1588	88.1917	87.8823	87.5729	87.2596	86.9577	87.1810	87.4753	87.7808	88.0902	88.3996	88.1917	9
341			1.0940	0.834500	0.3663											524	250	22	33		35	40.1154	40.1700	40.2256	40.2810	40.3354	41.1528	41.0984	41.0430	40.9877	40.9333	40.1154	80.2463	79.9763	79.7066	79.4375	79.1732	79.3416	79.6058	79.8749	80.1433	80.4120	80.2463	9
342			1.3487	0.834500	0.5245											546	250	27	33		35	39.8696	39.9267	39.9847	40.0504	40.1151	40.9335	40.8693	40.8057	40.7494	40.6922	39.8696	81.5854	81.2505	80.9111	80.5719	80.2475	80.4107	80.7329	81.0607	81.3910	81.7258	81.5854	9
343			1.1488	0.834500	0.4496											573	250	23	33		35	39.5674	39.6559	39.7327	39.8062	39.8775	40.6843	40.6128	40.5369	40.4533	40.3596	39.5674	82.6281	82.3608	82.0944	81.8190	81.5491	81.7621	82.0331	82.3175	82.6077	82.8905	82.6281	9
344			1.1988	0.834500	0.4995											596	250	24	33		35	39.2267	39.3051	39.3863	39.4721	39.5674	40.3596	40.2695	40.1895	40.1107	40.0335	39.2267	83.8039	83.5069	83.2137	82.9157	82.6281	82.8905	83.1625	83.4404	83.7249	84.0171	83.8039	9
345			1.6185	0.834500	0.8367											620	250	33	33		35	38.8245	38.9296	39.0327	39.1306	39.2246	40.0355	39.9407	39.8406	39.7362	39.6312	38.8245	85.3711	84.9752	84.5865	84.1984	83.8119	84.0091	84.3991	84.7956	85.1892	85.5851	85.3711	9
346			1.6934	0.804000	0.3830											683	250	34	33		36	88.3183	88.3163	88.3000	88.2808	88.2618	89.0650	89.0840	89.1032	89.1202	89.1223	88.3183	94.7469	94.3293	93.9132	93.4902	93.0710	93.0347	93.4538	93.8792	94.3116	94.7432	94.7469	9
347			1.4985	0.804000	0.4496											717	250	30	33		36	88.4110	88.3805	88.3534	88.3270	88.3184	89.1222	89.1303	89.1554	89.1821	89.2124	88.4110	96.2725	95.8924	95.5165	95.1328	94.7542	94.7359	95.0961	95.4600	95.8314	96.2082	96.2725	9
348			3.6214	0.804000	0.2997											747	250	73	33		36	88.9118	88.7368	88.5901	88.4995	88.4116	89.2117	89.2996	89.3878	89.5285	89.7010	88.9118	99.9016	99.0027	98.0916	97.1746	96.2796	96.2011	97.0957	97.9881	98.8620	99.7480	99.9016	9
349			4.6899	0.784200	0.5661											850	250	94	33		37	57.9897	57.6814	57.3174	56.9655	56.5985	57.3428	57.7117	58.0640	58.4325	58.7459	57.9897	7.8548	6.7327	5.6242	4.5050	3.3984	3.1516	4.2640	5.3842	6.5063	7.6470	7.8548	13
350			2.9471	0.784200	0.7993											944	250	59	33		37	58.7861	58.6102	58.4286	58.2158	57.9943	58.7412	58.9643	59.1837	59.3707	59.5477	58.7861	10.6798	9.9640	9.2586	8.5626	7.8704	7.6314	8.3285	9.0461	9.7727	10.4927	10.6798	13
351			0.9441	0.846300	0.4995											1033	250	19	33		38	92.8912	92.8391	92.7880	92.7359	92.6859	93.5119	93.5619	93.6140	93.6651	93.7172	92.8912	6.0246	5.7905	5.5614	5.3273	5.1030	4.9190	5.1433	5.3774	5.6065	5.8406	6.0246	13
352			2.3977	0.846300	0.5661											1052	250	48	33		38	93.2822	93.2229	93.1244	93.0121	92.8902	93.7183	93.8416	93.9570	94.0619	94.1242	93.2822	8.3374	7.7507	7.1788	6.5980	6.0199	5.8453	6.4304	7.0266	7.6362	8.2522	8.3374	13
353			3.4814	0.846300	0.5828											1100	250	70	33		38	93.9714	93.7888	93.5759	93.3948	93.2835	94.1230	94.2302	94.4011	94.6130	94.7987	93.9714	11.7945	10.9471	10.1025	9.2215	8.3483	8.2413	9.0825	9.9138	10.7545	11.6162	11.7945	13
354			2.7922	0.678000	0.6994											30	300	56	33		39	57.4997	57.2896	57.0745	56.8744	56.6823	57.3340	57.5253	57.7224	57.9357	58.1463	57.4997	9.3712	8.7053	8.0367	7.3610	6.6923	6.5051	7.1711	7.8365	8.4994	9.1672	9.3712	13
355			4.1953	0.678000	0.9117											86	300	84	33		39	58.6962	58.3252	58.0115	57.7495	57.4942	58.1517	58.4067	58.6643	58.9674	59.3317	58.6962	13.4058	12.4089	11.3898	10.3649	9.3520	9.1863	10.1981	11.2060	12.1907	13.1693	13.4058	13
356			2.0979	0.678000	0.9325											170	300	42	33		39	59.3166	59.1577	59.0088	58.8560	58.6925	59.3355	59.5016	59.6579	59.8064	59.9637	59.3166	15.3908	14.8830	14.3793	13.8838	13.3951	13.1799	13.6763	14.1833	14.6857	15.1884	15.3908	13
357			1.7983	0.678000	0.7993											212	300	36	33		39	59.9796	59.7964	59.6263	59.4599	59.3181	59.9621	60.0985	60.2571	60.4220	60.6014	59.9796	17.1002	16.6790	16.2555	15.8263	15.3957	15.1835	15.5975	16.0066	16.4174	16.8299	17.1002	13
358			1.7433	0.678000	0.9491											248	300	35	33		39	60.6150	60.4561	60.2990	60.1392	59.9769	60.6040	60.7683	60.9305	61.0882	61.2472	60.6150	18.7089	18.2992	17.8949	17.4889	17.0939	16.8362	17.2359	17.6479	18.0538	18.4638	18.7089	13
359			1.5435	0.744500												313	300	31	33		40	59.4271	59.2983	59.1760	59.0574	58.9426	59.6521	59.7670	59.8842	60.0034	60.1303	59.4271	12.5583	12.1876	11.8177	11.4442	11.0823	10.8571	11.2189	11.5882	11.9486	12.3140	12.5583	13
360			2.2978	0.744500	0.6994											344	300	46	33		40	60.1248	59.9451	59.7765	59.6041	59.4255	60.1320	60.3122	60.4873	60.6551	60.8329	60.1248	14.7395	14.1854	13.6349	13.0916	12.5535	12.3189	12.8617	13.4134	13.9616	14.5098	14.7395	13
361			2.8972	0.744500	0.6494											390	300	58	33		40	61.1414	60.8786	60.6160	60.3583	60.1262	60.8315	61.0596	61.3115	61.5729	61.8358	61.1414	17.4739	16.7938	16.1169	15.4312	14.7437	14.5056	15.1811	15.8513	16.5250	17.2055	17.4739	13
362			1.1140	0.744500	0.5495											448	300	23	33		40	61.5270	61.4307	61.3343	61.2389	61.1413	61.8360	61.9358	62.0332	62.1295	62.2259	61.5270	18.5122	18.2496	17.9869	17.7271	17.4735	17.2059	17.4651	17.7305	17.9931	18.2557	18.5122	13
363			1.4436	0.768000	0.3996											501	300	29	33		41	85.7062	85.7201	85.7332	85.7269	85.7180	86.4857	86.4947	86.5014	86.4875	86.4736	85.7062	46.4860	46.1217	45.7730	45.4205	45.0674	45.0480	45.4040	45.7806	46.1508	46.5152	46.4860	13
364			3.0022	0.768000	0.7743											530	300	61	33		41	85.5988	85.6351	85.6590	85.6727	85.7063	86.4735	86.4403	86.4267	86.4024	86.3659	85.5988	49.4822	48.7318	47.9887	47.2321	46.4834	46.5179	47.2563	48.0080	48.7627	49.5193	49.4822	13
365			3.3413	0.682000	1.0615											621	300	67	33		42	86.7221	86.6882	86.6763	86.6511	86.5590	87.2366	87.3319	87.3582	87.3700	87.4036	86.7221	50.8560	50.0131	49.1773	48.3559	47.5460	47.4689	48.3069	49.1620	49.9945	50.8286	50.8560	13
366			2.6475	0.682000	0.3747											688	300	53	33		42	86.8169	86.7907	86.7558	86.7424	86.7220	87.4037	87.4242	87.4375	87.4720	87.4984	86.8169	53.5015	52.8398	52.1730	51.5052	50.8530	50.8317	51.4876	52.1483	52.8085	53.4744	53.5015	13
367			2.4977	0.682000	0.6827											741	300	50	33		42	86.8538	86.8537	86.8491	86.8361	86.8168	87.4985	87.5179	87.5311	87.5357	87.5358	86.8538	55.9852	55.3570	54.7362	54.1160	53.4986	53.4773	54.0982	54.7265	55.3544	55.9851	55.9852	13
368			3.9711	0.682000	0.4496											791	300	80	33		42	87.0013	86.9416	86.9204	86.8761	86.8539	87.5358	87.5578	87.6021	87.6232	87.6820	87.0013	59.9733	58.9745	57.9781	56.9852	55.9928	55.9775	56.9624	57.9556	58.9469	59.9327	59.9733	13
369			2.2427	0.529800	1.0324											901	300	45	33		43	85.8776	85.8716	85.8562	85.8163	85.7766	86.3051	86.3447	86.3855	86.4013	86.4074	85.8776	52.0825	51.5204	50.9694	50.4121	49.8591	49.8212	50.3742	50.9430	51.5102	52.0769	52.0825	13
370			1.8631	0.529800	1.2239											946	300	38	33		43	85.9675	85.9454	85.9125	85.8815	85.8776	86.4074	86.4112	86.4411	86.4743	86.4967	85.9675	53.9527	53.4868	53.0257	52.5490	52.0820	52.0775	52.5296	52.9897	53.4554	53.9276	53.9527	13
371			0.7443	0.524600	0.9991											1014	300	15	33		44	84.9512	84.9611	84.9709	84.9809	84.9905	85.5143	85.5048	85.4947	85.4849	85.4751	84.9512	51.6330	51.4433	51.2586	51.0690	50.8895	50.9173	51.0969	51.2864	51.4708	51.6603	51.6330	13
372			2.6472	0.524600	1.0241											1029	300	53	33		44	85.0631	85.0196	84.9687	84.9346	84.9509	85.4753	85.4595	85.4923	85.5429	85.5866	85.0631	54.3066	53.6451	52.9807	52.3042	51.6402	51.6531	52.2975	52.9475	53.6079	54.2722	54.3066	13
373			1.6483	0.524600	0.4329											1082	300	33	33		44	85.0382	85.0597	85.0727	85.0795	85.0628	85.5869	85.6043	85.5972	85.5839	85.5620	85.0382	55.9227	55.5114	55.1017	54.6969	54.3005	54.2784	54.6902	55.1144	55.5334	55.9502	55.9227	13
374			0.8942	0.524600	0.5245											1115	300	18	33		44	85.0073	85.0140	85.0207	85.0275	85.0381	85.5621	85.5517	85.5451	85.5384	85.5317	85.0073	56.8223	56.5976	56.3729	56.1458	55.9239	55.9490	56.1662	56.3885	56.6132	56.8379	56.8223	13
375			1.7431	0.604400	0.7743											30	350	35	33		45	83.9819	83.9675	83.9629	83.9692	83.9757	84.5800	84.5736	84.5674	84.5718	84.5860	83.9819	52.9975	52.5550	52.1134	51.6700	51.2403	51.2494	51.6788	52.1145	52.5421	52.9778	52.9975	13
376			2.8823	0.604400	0.5995											65	350	58	33		45	84.1121	84.0950	84.0769	84.0396	83.9827	84.5852	84.6427	84.6810	84.6993	84.7164	84.1121	55.8733	55.1495	54.4347	53.7196	53.0119	52.9634	53.6797	54.4112	55.1347	55.8591	55.8733	13
377			2.0929	0.674300	0.6744											153	350	42	33		46	42.3111	42.0093	41.6882	41.3613	41.0370	41.5637	41.8882	42.2157	42.5471	42.8583	42.3111	68.8313	68.4123	68.0081	67.5986	67.1928	66.7718	67.1777	67.5881	68.0053	68.4372	68.8313	13
378			1.3438	0.674300	1.0324											195	350	27	33		46	43.0356	42.8529	42.6729	42.4942	42.3089	42.8605	43.0545	43.2413	43.4214	43.6041	43.0356	69.9402	69.6538	69.3717	69.0917	68.8283	68.4403	68.7162	69.0089	69.2911	69.5775	69.9402	13
379			1.4935	0.614600	0.8492											252	350	30	33		47	41.6561	41.4558	41.2588	41.0716	40.8888	41.4230	41.6058	41.7891	41.9793	42.1769	41.6561	69.6403	69.3207	68.9944	68.6653	68.3440	68.0401	68.3614	68.6836	68.9987	69.3139	69.6403	13
380			4.1951	0.614600	0.4995											282	350	84	33		47	44.1167	43.4809	42.8875	42.2639	41.6644	42.1686	42.7630	43.3880	43.9805	44.6086	44.1167	73.0687	72.2200	71.3540	70.5126	69.6529	69.3014	70.1538	70.9972	71.8619	72.7002	73.0687	13
381			0.6394	0.614600	0.5995											366	350	13	33		47	44.5147	44.4131	44.3146	44.2161	44.1206	44.6047	44.7001	44.7986	44.8971	44.9987	44.5147	73.5774	73.4475	73.3216	73.1957	73.0738	72.6951	72.8170	72.9429	73.0688	73.1986	73.5774	13
382			2.5424	0.667400	0.8492											409	350	51	33		48	41.4089	41.0367	40.7046	40.3783	40.0576	40.6319	40.9526	41.2781	41.5975	41.9564	41.4089	71.0488	70.5150	69.9600	69.4092	68.8676	68.5275	69.0691	69.6186	70.1523	70.6671	71.0488	13
383			2.8373	0.667400	0.7993											460	350	57	33		48	43.1190	42.6924	42.2637	41.8305	41.4131	41.9522	42.3652	42.7942	43.2252	43.6537	43.1190	73.3263	72.7553	72.1927	71.6267	71.0547	70.6612	71.2271	71.7876	72.3533	72.9269	73.3263	13
384			6.5367	0.830200	1.0990											547	350	131	33		49	29.7346	29.3415	29.0936	29.0298	29.0710	29.9009	29.8605	29.9215	30.1570	30.5411	29.7346	85.1781	83.5682	81.9117	80.2399	78.5989	78.6198	80.2344	81.8342	83.4080	84.9812	85.1781	13
385			5.2426	0.830200	0.9491											678	350	105	33		49	30.6781	30.5465	30.3383	30.0297	29.7336	30.5421	30.8373	31.1523	31.3699	31.5041	30.6781	90.2686	88.9756	87.7077	86.4456	85.1738	84.9855	86.2529	87.5416	88.8662	90.1846	90.2686	13
386			2.0469	0.830200	0.6744											783	350	41	33		49	31.0682	30.9550	30.8322	30.7124	30.6769	31.5053	31.5366	31.6405	31.7630	31.8778	31.0682	92.3244	91.8261	91.3257	90.7894	90.2540	90.1992	90.6707	91.1363	91.6352	92.1404	92.3244	13
387			4.5654	0.830200	0.1998											824	350	92	33		49	32.0929	31.8519	31.6143	31.3580	31.0715	31.8745	32.1641	32.4248	32.6637	32.9045	32.0929	96.7677	95.6491	94.5335	93.4287	92.3379	92.1270	93.2294	94.3532	95.4752	96.5929	96.7677	13
388			2.8414	0.733800	0.7660											946	350	57	33		50	28.9865	28.8027	28.6219	28.4842	28.3881	29.1152	29.2086	29.3382	29.5125	29.6957	28.9865	85.9327	85.2413	84.5422	83.8196	83.1120	83.0133	83.7015	84.3814	85.0551	85.7442	85.9327	13
389			2.3977	0.733800	0.4496											1003	350	48	33		50	29.5270	29.4052	29.2767	29.1311	28.9854	29.6968	29.8425	29.9907	30.1227	30.2456	29.5270	88.2472	87.6580	87.0807	86.5047	85.9284	85.7485	86.3248	86.9111	87.5040	88.0987	88.2472	13
390			1.1089	0.733800	0.3996											1051	350	23	33		50	29.7111	29.6660	29.6209	29.5768	29.5262	30.2464	30.2991	30.3451	30.3902	30.4353	29.7111	89.3251	89.0490	88.7729	88.5024	88.2432	88.1027	88.3730	88.6546	88.9307	89.2068	89.3251	13
391			5.5887	0.784500	0.4995											30	400	112	33		51	67.5439	67.8427	68.2484	68.7238	69.2018	69.9388	69.4615	68.9942	68.6032	68.3106	67.5439	11.2929	9.9116	8.5469	7.2188	5.9086	6.1774	7.4855	8.7911	10.1066	11.4588	11.2929	17
392			2.5476	0.784500												142	400	51	33		51	67.0531	67.1761	67.3025	67.4239	67.5420	68.3125	68.1942	68.0721	67.9455	67.8230	67.0531	13.8008	13.1721	12.5457	11.9199	11.3022	11.4495	12.0683	12.6979	13.3250	13.9514	13.8008	17
393			1.2688	0.784500	0.7993											193	400	26	33		51	66.7647	66.8391	66.9135	66.9874	67.0556	67.8205	67.7513	67.6764	67.6020	67.5277	66.7647	15.0196	14.7087	14.3977	14.0889	13.7891	13.9631	14.2672	14.5802	14.8912	15.2021	15.0196	17
394			0.5945	0.569100	0.3996											249	400	12	33		52	65.1406	65.1195	65.0984	65.0773	65.0569	65.6204	65.6408	65.6619	65.6830	65.7041	65.1406	10.5993	10.4510	10.3026	10.1542	10.0108	9.9307	10.0741	10.2225	10.3709	10.5192	10.5993	17
395			3.2366	0.569100	0.5661											261	400	65	33		52	65.7365	65.5473	65.3818	65.2548	65.1406	65.7040	65.8176	65.9419	66.1030	66.2902	65.7365	13.8050	13.0087	12.2056	11.3977	10.5996	10.5190	11.3132	12.1039	12.8854	13.6735	13.8050	17
396			3.1920	0.603200	0.5745											356	400	64	33		53	62.3650	62.3008	62.2220	62.1413	62.0594	62.6594	62.7413	62.8221	62.9015	62.9662	62.3650	14.2405	13.4467	12.6544	11.8599	11.0702	11.0080	11.7983	12.5941	13.3925	14.1919	14.2405	17
397			3.2465	0.603200	1.0823											420	400	65	33		53	62.5082	62.4570	62.4094	62.3924	62.3642	62.9670	62.9953	63.0122	63.0590	63.1101	62.5082	17.4780	16.6649	15.8458	15.0284	14.2268	14.2056	15.0115	15.8221	16.6285	17.4401	17.4780	17
398			1.6634	0.603200	0.9991											485	400	34	33		53	62.6746	62.6230	62.5719	62.5212	62.5077	63.1106	63.1232	63.1707	63.2215	63.2731	62.6746	19.1501	18.7337	18.3213	17.8909	17.4686	17.4495	17.8460	18.2489	18.6595	19.0759	19.1501	17
399			1.0440	0.502100	0.4995											549	400	21	33		54	63.3906	63.4180	63.4449	63.4722	63.4986	63.9980	63.9717	63.9443	63.9174	63.8900	63.3906	13.6605	13.3971	13.1388	12.8754	12.6220	12.6740	12.9274	13.1907	13.4491	13.7124	13.6605	17
400			1.5333	0.502100	0.7243											570	400	31	33		54	63.3403	63.3415	63.3480	63.3576	63.3901	63.8905	63.8592	63.8501	63.8437	63.8425	63.3403	15.2175	14.8311	14.4439	14.0509	13.6654	13.7075	14.0782	14.4542	14.8361	15.2191	15.2175	17
401			2.2429	0.564400	0.7993											631	400	45	33		55	66.2147	66.1549	66.0836	65.9807	65.8781	66.4328	66.5354	66.6412	66.7154	66.7760	66.2147	16.4323	15.8744	15.3307	14.7837	14.2388	14.1344	14.6793	15.2418	15.8076	16.3721	16.4323	17
402			1.3887	0.564400	0.6827											676	400	28	33		55	66.3327	66.3041	66.2756	66.2465	66.2144	66.7763	66.8087	66.8381	66.8667	66.8952	66.3327	17.8088	17.4603	17.1121	16.7655	16.4290	16.3754	16.7151	17.0654	17.4143	17.7628	17.8088	17
403			4.8687	0.705300												734	400	98	33		56	64.9691	65.2092	65.3856	65.4780	65.5067	66.2117	66.1826	66.0868	65.9040	65.6604	64.9691	23.1144	21.9297	20.7457	19.5529	18.3488	18.3656	19.5885	20.8250	22.0518	23.2544	23.1144	17
404			3.3414	0.837900	0.5994											862	400	67	33		57	20.1489	20.4587	20.8037	21.1711	21.5687	22.3066	21.9187	21.5648	21.2318	20.9289	20.1489	25.7396	24.9496	24.1742	23.4023	22.6630	23.0599	23.7810	24.5246	25.2730	26.0455	25.7396	17
405			2.7958	0.837900	0.5995											929	400	56	33		57	19.3745	19.4884	19.6557	19.8929	20.1487	20.9291	20.6796	20.4618	20.3110	20.2018	19.3745	28.5092	27.7991	27.0833	26.3948	25.7402	26.0450	26.6838	27.3158	27.9610	28.6418	28.5092	17
406			1.3338	0.837900												985	400	27	33		57	19.2009	19.2429	19.2849	19.3293	19.3729	20.2034	20.1598	20.1159	20.0741	20.0322	19.2009	29.8457	29.5136	29.1802	28.8469	28.5200	28.6310	28.9576	29.2879	29.6186	29.9506	29.8457	17
407			2.3927	0.829600	0.3996											30	450	48	33		58	12.4637	12.3152	12.2138	12.1176	12.0229	12.8419	12.9366	13.0324	13.1282	13.2688	12.4637	51.2720	50.6745	50.0663	49.4735	48.8865	48.7544	49.3410	49.9317	50.5060	51.0720	51.2720	17
408			3.0395	0.829600	0.3497											78	450	61	33		58	13.8456	13.1929	12.8564	12.6501	12.4641	13.2684	13.4528	13.6440	13.8848	14.3846	13.8456	54.1552	53.5975	52.7741	52.0081	51.2738	51.0702	51.7984	52.5083	53.0974	53.5245	54.1552	17
409			2.6250	0.829600	0.5661											139	450	53	33		58	16.3138	15.7050	15.0917	14.4746	13.9029	14.3273	14.8677	15.4380	16.0332	16.6382	16.3138	55.3606	55.1020	54.8341	54.5367	54.1962	53.4834	53.8052	54.0801	54.3400	54.5970	55.3606	17
410			4.2905	0.852400	0.3996											222	450	86	33		59	12.4208	12.1789	11.9936	11.8373	11.6496	12.4885	12.6786	12.8354	13.0150	13.2517	12.4208	64.3716	63.3138	62.2390	61.1779	60.1324	59.9818	61.0405	62.1044	63.1462	64.1816	64.3716	17
411			4.3805	0.852400	0.4746											308	450	88	33		59	14.0161	13.5506	13.1198	12.7689	12.4311	13.2415	13.5787	13.9189	14.3309	14.7895	14.0161	68.5406	67.5361	66.5044	65.4450	64.4087	64.1445	65.1789	66.2058	67.1925	68.1822	68.5406	17
412			2.6923	0.868100	0.1499											426	450	54	33		60	93.5436	92.8755	92.2008	91.5406	90.8898	90.8783	91.5657	92.2508	92.9235	93.6012	93.5436	69.4862	69.4418	69.4120	69.3650	69.3737	68.5056	68.4965	68.5452	68.5750	68.6200	69.4862	17
413			2.7665	0.868100	0.4496											480	450	56	33		60	96.1612	95.4921	94.8275	94.1655	93.5014	93.6434	94.3280	95.0234	95.7065	96.3809	96.1612	70.0739	69.8990	69.7341	69.5915	69.4813	68.6249	68.7385	68.8882	69.0577	69.2341	70.0739	17
414			4.1903	0.746100	0.5994											566	450	84	33		61	39.3474	40.0399	40.7220	41.3973	42.0691	42.6401	41.9679	41.2896	40.6021	39.9065	39.3474	84.4116	83.6277	82.8363	82.0365	81.2378	81.7181	82.5173	83.3206	84.1183	84.9056	84.4116	17
415			3.4459	0.746100	0.9658											650	450	69	33		61	36.9295	37.5321	38.1416	38.7664	39.3608	39.8931	39.2903	38.6659	38.0663	37.4648	36.9295	86.8417	86.2211	85.5991	85.0023	84.3971	84.9200	85.5336	86.1301	86.7420	87.3614	86.8417	17
