baseline,height,x,y,sigma_x,sigma_y,fwhm_x,fwhm_y,fwhm,error_baseline,error_height,error_x,error_y,error_sigma_x,error_sigma_y,error_fwhm_x,error_fwhm_y,error_fwhm,slice
106.573,70.603,415.572,448.603,2.004,2.059,4.719,4.848,4.784,2.418,3.145,0.084,0.086,0.136,0.138,0.319,0.324,0.227,8
98.135,67.692,406.485,568.543,2.231,2.003,5.253,4.718,4.986,2.890,3.415,0.103,0.091,0.172,0.159,0.405,0.374,0.276,8
108.174,65.713,553.396,99.888,1.803,1.675,4.247,3.945,4.096,1.441,2.817,0.077,0.071,0.103,0.096,0.241,0.227,0.166,8
104.541,66.212,370.358,374.528,2.198,2.108,5.176,4.965,5.070,3.325,3.728,0.110,0.105,0.192,0.188,0.453,0.443,0.317,8
114.482,69.000,254.211,439.688,2.122,1.915,4.998,4.510,4.754,3.425,4.631,0.134,0.121,0.207,0.194,0.488,0.457,0.334,8
108.379,68.013,904.793,498.784,2.168,1.855,5.105,4.368,4.736,2.575,3.342,0.101,0.085,0.158,0.142,0.373,0.335,0.250,8
101.127,65.905,119.577,144.670,2.238,1.829,5.271,4.307,4.789,2.124,2.800,0.090,0.072,0.140,0.120,0.329,0.282,0.217,8
110.959,63.117,667.949,188.748,2.127,1.567,5.008,3.690,4.349,2.062,3.654,0.121,0.088,0.163,0.128,0.384,0.301,0.244,8
110.291,66.666,622.105,465.533,1.634,1.408,3.847,3.316,3.581,1.073,2.969,0.073,0.063,0.087,0.076,0.205,0.179,0.136,8
112.945,66.023,569.717,519.452,2.592,1.720,6.104,4.050,5.077,2.526,3.477,0.134,0.083,0.201,0.135,0.472,0.318,0.285,8
109.166,67.183,97.271,587.533,2.182,2.285,5.138,5.380,5.259,3.017,3.103,0.084,0.090,0.161,0.169,0.379,0.397,0.274,8
107.438,61.329,368.686,608.137,2.140,1.583,5.039,3.727,4.383,1.996,3.464,0.119,0.087,0.162,0.127,0.382,0.299,0.242,8
105.605,69.284,815.133,272.223,2.737,2.352,6.445,5.539,5.992,3.745,3.344,0.095,0.074,0.207,0.175,0.488,0.412,0.319,8
104.508,62.383,851.036,624.668,1.929,1.901,4.543,4.477,4.510,1.882,2.842,0.085,0.084,0.126,0.126,0.297,0.297,0.210,8
103.699,155.663,790.544,451.626,1.658,1.507,3.903,3.550,3.726,1.309,4.007,0.043,0.038,0.051,0.045,0.119,0.106,0.080,8
103.404,64.853,344.060,595.857,2.491,2.078,5.867,4.894,5.380,3.328,3.864,0.138,0.109,0.229,0.191,0.539,0.449,0.351,8
104.826,91.968,340.114,132.632,2.060,2.395,4.852,5.640,5.246,3.201,5.534,0.142,0.162,0.197,0.218,0.464,0.514,0.346,8
113.951,62.433,604.727,323.753,2.314,1.827,5.450,4.303,4.876,1.773,2.230,0.077,0.060,0.122,0.103,0.288,0.242,0.188,8
101.786,63.882,20.403,579.286,2.890,2.419,6.805,5.695,6.250,5.411,4.672,0.127,0.098,0.308,0.264,0.725,0.622,0.478,8
106.106,63.986,590.802,140.420,2.018,2.820,4.752,6.641,5.697,3.588,3.882,0.099,0.150,0.191,0.257,0.449,0.605,0.377,8
98.550,65.820,745.697,420.261,3.244,2.341,7.638,5.512,6.575,4.354,4.239,0.154,0.107,0.298,0.233,0.701,0.548,0.445,8
98.292,63.584,875.923,277.183,2.563,2.585,6.036,6.087,6.061,4.264,3.818,0.106,0.101,0.242,0.228,0.571,0.537,0.392,8
101.922,60.788,741.617,406.227,2.375,2.346,5.593,5.524,5.559,3.803,3.723,0.114,0.115,0.226,0.231,0.531,0.543,0.380,8
102.948,64.087,820.390,485.794,3.643,1.957,8.578,4.609,6.593,3.674,3.540,0.245,0.079,0.381,0.173,0.898,0.407,0.493,8
103.849,62.583,335.184,150.777,2.281,2.759,5.372,6.496,5.934,3.246,3.352,0.101,0.125,0.195,0.222,0.458,0.524,0.348,8
111.287,57.263,458.157,458.101,1.587,1.475,3.736,3.473,3.604,1.603,4.276,0.118,0.110,0.144,0.135,0.340,0.319,0.233,8
100.350,117.820,774.213,471.615,2.656,1.822,6.255,4.291,5.273,2.097,3.589,0.102,0.055,0.133,0.077,0.313,0.181,0.181,8
103.132,58.833,298.460,588.606,3.510,2.171,8.266,5.112,6.689,5.049,4.525,0.182,0.093,0.393,0.251,0.925,0.592,0.549,8
109.674,56.988,146.399,587.350,2.666,1.448,6.277,3.409,4.843,1.633,2.909,0.137,0.069,0.187,0.101,0.441,0.238,0.251,8
109.241,50.843,557.240,49.953,2.500,1.502,5.888,3.537,4.712,2.261,3.921,0.197,0.110,0.269,0.162,0.634,0.381,0.370,8
